ID,Trial,Decision,AbsolutePay,AbsolutePayPower,Rank,Fairness,FeelingRating,Disadvantageous,Advantageous,MeanOffer
2,0.216666666666667,0,29,4.25432965572642,0.25,0.186096256684492,0.163265306122449,12.25,1.75,37.4
2,0.233333333333333,1,142,8.42333335048786,0.25,0.238867438867439,0.851576994434137,46,29.25,155.4
2,0.25,1,113,7.6352582458409,0.75,0.225968109339408,0.723562152133581,3.5,35,87.8
2,0.266666666666667,1,155,8.74666775884111,1,0.240867992766727,0.628942486085343,0,55.5,110.6
2,0.283333333333333,0,37,4.72418331413403,0.25,0.522683706070287,0.181818181818182,115.75,5.5,125.2
2,0.3,0,21,3.70300498531373,0,0.435867446393762,0.0500927643784787,102,0,102.6
2,0.316666666666667,1,61,5.85722394367081,0.25,0.191954022988506,0.269016697588126,19.25,8.5,69.6
2,0.333333333333333,0,19,3.54702335795896,0,0.186206896551724,0.0185528756957328,34.25,0,46.4
2,0.35,0,15,3.20419723555673,0.25,0.518287937743191,0.0612244897959184,47.5,2,51.4
2,0.366666666666667,1,91,6.95645209424475,0.5,0.153424657534247,0.294990723562152,10,14.25,87.6
2,0.383333333333333,1,48,5.28364623763486,0.5,0.290140845070423,0.391465677179963,20.25,9.25,56.8
2,0.4,0,29,4.25432965572642,0.5,0.472103004291845,0.0500927643784787,30.25,8.25,46.6
2,0.416666666666667,1,29,4.25432965572642,0,0.344124168514412,0,76.5,0,90.2
2,0.433333333333333,1,83,6.68657283658712,0.25,0.178991596638655,0.435992578849722,25.25,10,95.2
2,0.45,1,76,6.43798328341031,0.5,0.169269521410579,0.421150278293135,14.25,10,79.4
2,0.466666666666667,1,65,6.01939361628307,0.5,0.216666666666667,0.272727272727273,6.5,15.75,57.6
2,0.483333333333333,0,36,4.6688516567751,0.5,0.146808510638298,0.0371057513914657,6,4,37.6
2,0.5,1,120,7.83516119572248,0.75,0.243362831858407,0.580705009276438,2.25,39.25,90.4
